time, node0_(3), node0_(2), node1_(3), node1_(2), node2_(3), node2_(2), node3_(3), node3_(2)
251, 62, 74, 6, 30, 0, 2, 0, 0
252, 63, 73, 6, 32, 0, 2, 0, 0
253, 65, 69, 6, 34, 0, 6, 0, 0
254, 68, 66, 6, 36, 0, 10, 0, 0
255, 68, 64, 6, 34, 0, 14, 0, 0
256, 69, 63, 6, 32, 0, 18, 0, 0
257, 72, 64, 6, 30, 0, 22, 0, 0
258, 73, 63, 6, 28, 0, 26, 0, 0
259, 74, 66, 6, 26, 0, 26, 0, 0
260, 74, 68, 6, 24, 0, 26, 0, 0
261, 75, 71, 6, 22, 0, 26, 0, 0
262, 75, 73, 6, 20, 0, 26, 0, 0
263, 75, 75, 6, 14, 0, 26, 0, 0
264, 78, 80, 6, 8, 0, 26, 0, 0
265, 79, 83, 6, 2, 0, 26, 0, 0
266, 80, 86, 6, 0, 0, 26, 0, 0
267, 80, 86, 6, 0, 0, 26, 0, 0
268, 80, 86, 6, 0, 0, 26, 0, 0
269, 80, 86, 6, 0, 0, 26, 0, 0
270, 81, 87, 6, 0, 0, 26, 0, 0
271, 82, 88, 6, 0, 0, 26, 0, 0
272, 82, 88, 6, 0, 0, 26, 0, 0
273, 82, 88, 6, 0, 0, 26, 0, 0
274, 82, 88, 6, 0, 0, 22, 0, 0
275, 79, 89, 10, 0, 0, 18, 0, 0
276, 75, 89, 14, 0, 0, 14, 0, 0
277, 72, 90, 18, 0, 0, 10, 0, 0
278, 69, 91, 22, 0, 0, 6, 0, 0
279, 68, 94, 18, 0, 0, 2, 0, 0
280, 64, 94, 14, 0, 0, 2, 0, 0
281, 61, 95, 10, 0, 0, 2, 0, 0
282, 59, 97, 6, 0, 0, 2, 0, 0
283, 55, 97, 2, 0, 0, 2, 0, 0
284, 52, 98, 2, 0, 0, 2, 0, 0
285, 49, 99, 2, 0, 0, 2, 0, 0
286, 50, 100, 2, 0, 0, 2, 0, 0
287, 50, 100, 2, 0, 0, 2, 0, 0
288, 52, 102, 2, 0, 0, 2, 0, 0
289, 52, 102, 2, 0, 0, 2, 0, 0
290, 54, 104, 2, 0, 0, 2, 0, 0
291, 55, 105, 2, 0, 0, 2, 0, 0
292, 56, 106, 2, 0, 0, 2, 0, 0
293, 56, 106, 2, 0, 0, 2, 0, 0
294, 57, 107, 2, 0, 0, 2, 0, 0
295, 58, 108, 2, 0, 0, 2, 0, 0
296, 59, 109, 2, 0, 0, 2, 0, 0
297, 60, 110, 2, 0, 0, 2, 0, 0
298, 61, 111, 2, 0, 0, 2, 0, 0
299, 62, 110, 2, 2, 0, 2, 0, 0
300, 63, 109, 2, 4, 0, 2, 0, 0
301, 63, 107, 2, 6, 0, 2, 0, 0
302, 63, 105, 2, 8, 0, 2, 0, 0
303, 63, 103, 2, 10, 0, 2, 0, 0
304, 64, 102, 2, 12, 0, 2, 0, 0
305, 64, 100, 2, 14, 0, 2, 0, 0
306, 64, 94, 2, 16, 0, 6, 0, 0
307, 65, 89, 2, 18, 0, 6, 0, 0
308, 65, 83, 2, 20, 0, 6, 0, 0
309, 69, 81, 2, 22, 0, 6, 0, 0
310, 69, 75, 2, 24, 0, 6, 0, 0
311, 70, 70, 2, 26, 0, 6, 0, 0
312, 70, 64, 2, 28, 0, 6, 0, 0
313, 71, 59, 2, 30, 0, 6, 0, 0
314, 72, 58, 2, 28, 0, 6, 0, 0
315, 73, 57, 2, 26, 0, 6, 0, 0
316, 77, 59, 2, 24, 0, 6, 0, 0
317, 78, 58, 2, 22, 0, 6, 0, 0
318, 80, 58, 2, 20, 0, 6, 0, 0
319, 81, 57, 2, 18, 0, 6, 0, 0
320, 81, 55, 2, 16, 0, 6, 0, 0
321, 81, 53, 2, 12, 0, 6, 0, 0
322, 81, 51, 2, 6, 0, 8, 0, 0
323, 82, 50, 2, 0, 0, 10, 0, 0
324, 82, 50, 2, 0, 0, 6, 0, 0
